path,deployment,datetime,media_type
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0630.jpg.xmp,6009_gps1_diq202504-202509,2025-03-12 14:40:49,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0631.mp4.xmp,6009_gps1_diq202504-202509,2025-03-12 14:41:20,video/mp4
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0632.jpg.xmp,6009_gps1_diq202504-202509,2025-03-12 14:41:20,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0633.jpg.xmp,6009_gps1_diq202504-202509,2025-03-12 14:41:21,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0634.mp4.xmp,6009_gps1_diq202504-202509,2025-03-12 14:41:52,video/mp4
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0635.jpg.xmp,6009_gps1_diq202504-202509,2025-03-12 14:41:52,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0636.jpg.xmp,6009_gps1_diq202504-202509,2025-03-12 14:41:53,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0637.mp4.xmp,6009_gps1_diq202504-202509,2025-03-12 14:42:24,video/mp4
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0639.jpg.xmp,6009_gps1_diq202504-202509,2025-03-12 14:42:25,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0640.mp4.xmp,6009_gps1_diq202504-202509,2025-03-13 03:59:38,video/mp4
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0641.jpg.xmp,6009_gps1_diq202504-202509,2025-03-13 03:59:38,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0642.jpg.xmp,6009_gps1_diq202504-202509,2025-03-13 03:59:39,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0643.mp4.xmp,6009_gps1_diq202504-202509,2025-03-13 16:05:25,video/mp4
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0645.jpg.xmp,6009_gps1_diq202504-202509,2025-03-13 16:05:26,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0647.jpg.xmp,6009_gps1_diq202504-202509,2025-03-14 13:42:19,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0648.jpg.xmp,6009_gps1_diq202504-202509,2025-03-14 13:42:20,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0656.jpg.xmp,6009_gps1_diq202504-202509,2025-03-17 02:18:24,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0678.jpg.xmp,6009_gps1_diq202504-202509,2025-03-18 11:00:31,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0712.mp4.xmp,6009_gps1_diq202504-202509,2025-03-18 11:43:45,video/mp4
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0713.jpg.xmp,6009_gps1_diq202504-202509,2025-03-18 11:43:45,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0714.jpg.xmp,6009_gps1_diq202504-202509,2025-03-18 11:43:46,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_0787.mp4.xmp,6009_gps1_diq202504-202509,2025-03-18 12:32:30,video/mp4
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_1173.jpg.xmp,6009_gps1_diq202504-202509,2025-03-19 13:42:34,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_1237.mp4.xmp,6009_gps1_diq202504-202509,2025-03-20 16:28:53,video/mp4
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_1238.jpg.xmp,6009_gps1_diq202504-202509,2025-03-20 16:28:53,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_1239.jpg.xmp,6009_gps1_diq202504-202509,2025-03-20 16:28:54,image/jpeg
